{'loss': 1.6596, 'grad_norm': 1.40625, 'learning_rate': 1.9399399399399402e-05, 'epoch': 0.09}
{'loss': 1.5718, 'grad_norm': 1.046875, 'learning_rate': 1.87987987987988e-05, 'epoch': 0.18}
{'loss': 1.5594, 'grad_norm': 1.046875, 'learning_rate': 1.81981981981982e-05, 'epoch': 0.27}
{'loss': 1.576, 'grad_norm': 0.9453125, 'learning_rate': 1.7597597597597598e-05, 'epoch': 0.36}
{'loss': 1.5257, 'grad_norm': 0.953125, 'learning_rate': 1.6996996996997e-05, 'epoch': 0.45}
{'loss': 1.561, 'grad_norm': 1.0, 'learning_rate': 1.6396396396396396e-05, 'epoch': 0.54}
{'loss': 1.5709, 'grad_norm': 0.94140625, 'learning_rate': 1.5795795795795797e-05, 'epoch': 0.63}
{'loss': 1.5492, 'grad_norm': 0.9375, 'learning_rate': 1.5195195195195196e-05, 'epoch': 0.72}
{'loss': 1.5674, 'grad_norm': 0.98828125, 'learning_rate': 1.4594594594594596e-05, 'epoch': 0.81}
{'loss': 1.5354, 'grad_norm': 1.0390625, 'learning_rate': 1.3993993993993995e-05, 'epoch': 0.9}
{'loss': 1.5231, 'grad_norm': 0.9296875, 'learning_rate': 1.3393393393393394e-05, 'epoch': 0.99}
{'loss': 1.5565, 'grad_norm': 0.91015625, 'learning_rate': 1.2792792792792795e-05, 'epoch': 1.08}
{'loss': 1.516, 'grad_norm': 0.91015625, 'learning_rate': 1.2192192192192194e-05, 'epoch': 1.17}
{'loss': 1.515, 'grad_norm': 0.921875, 'learning_rate': 1.1591591591591593e-05, 'epoch': 1.26}
{'loss': 1.5115, 'grad_norm': 0.91015625, 'learning_rate': 1.0990990990990992e-05, 'epoch': 1.35}
{'loss': 1.506, 'grad_norm': 0.94921875, 'learning_rate': 1.039039039039039e-05, 'epoch': 1.44}
{'loss': 1.5177, 'grad_norm': 0.90625, 'learning_rate': 9.78978978978979e-06, 'epoch': 1.53}
{'loss': 1.501, 'grad_norm': 0.93359375, 'learning_rate': 9.189189189189191e-06, 'epoch': 1.62}
{'loss': 1.5186, 'grad_norm': 0.98046875, 'learning_rate': 8.588588588588589e-06, 'epoch': 1.71}
{'loss': 1.5189, 'grad_norm': 0.9296875, 'learning_rate': 7.987987987987988e-06, 'epoch': 1.8}
{'loss': 1.5154, 'grad_norm': 0.9609375, 'learning_rate': 7.387387387387388e-06, 'epoch': 1.89}
{'loss': 1.5156, 'grad_norm': 0.90625, 'learning_rate': 6.786786786786788e-06, 'epoch': 1.98}
{'loss': 1.5134, 'grad_norm': 0.8984375, 'learning_rate': 6.186186186186187e-06, 'epoch': 2.07}
{'loss': 1.485, 'grad_norm': 0.95703125, 'learning_rate': 5.585585585585585e-06, 'epoch': 2.16}
{'loss': 1.4833, 'grad_norm': 0.9375, 'learning_rate': 4.984984984984985e-06, 'epoch': 2.25}
{'loss': 1.5317, 'grad_norm': 0.984375, 'learning_rate': 4.384384384384384e-06, 'epoch': 2.34}
{'loss': 1.5126, 'grad_norm': 0.90234375, 'learning_rate': 3.7837837837837844e-06, 'epoch': 2.43}
{'loss': 1.4937, 'grad_norm': 0.9296875, 'learning_rate': 3.183183183183183e-06, 'epoch': 2.52}
{'loss': 1.5267, 'grad_norm': 0.92578125, 'learning_rate': 2.5825825825825827e-06, 'epoch': 2.61}
{'loss': 1.5309, 'grad_norm': 0.94140625, 'learning_rate': 1.9819819819819822e-06, 'epoch': 2.7}
{'loss': 1.5099, 'grad_norm': 0.95703125, 'learning_rate': 1.3813813813813814e-06, 'epoch': 2.79}
{'loss': 1.5176, 'grad_norm': 0.9296875, 'learning_rate': 7.807807807807808e-07, 'epoch': 2.88}
{'loss': 1.5123, 'grad_norm': 0.953125, 'learning_rate': 1.801801801801802e-07, 'epoch': 2.97}
{'train_runtime': 493.661, 'train_samples_per_second': 10.775, 'train_steps_per_second': 0.675, 'train_loss': 1.5300768073256668, 'epoch': 3.0}
